name,freereturns,itemssold,status,price,shipping
Nice Vaughan No.9 Claw Hammer 10 Oz.Head Cabinetmaker's Smooth Face 10'' Handle,False,,Pre-Owned,99,800
Irwin 16oz Hammer FAST SHIPPING  (Ships from U.S.A.),False,,Brand New,674,1465
PEXTO SLATER'S SLATE ROOFING HAMMER,False,,Pre-Owned,500,1465
Blacksmith Rectangler Flatter Hammer 2lb 14oz,False,,Pre-Owned,3499,2435
Lot Of 2 Plumb 11419 16 oz Fiberglass Rip Claw Hammer Brand New,True,0,Brand New,2499,0
1kg 40oz Machinist Carbon Steel Hammer Fiberglass Rubber Soft Handle,False,,Brand New,1577,0
Dewalt Dwht51439  16 Oz Steel Curve Claw Hammer,True,0,Brand New,1799,999
New ListingVintage PLUMB Claw Hammer. Old Wood Estate Find,True,,Pre-Owned,499,795
FAB15 Plumb Hammer Brick Masonry Stone Geology Woodwork Bricklayer Mason Rock,False,,Brand New,2500,2115
12 oz. Curved-Claw Hammer with Shock Reduction Grip,True,0,Brand New,2492,0
bluegrass 16 oz masonary hammer,False,,Pre-Owned,1500,850
old Sargent hammer,False,,Pre-Owned,999,920
"HICKORY 14"" ENGINEER'S HAMMER HANDLE Fire Finish & Lacquered Amish Made",False,0,Brand New,1199,499
Dead On F21 Waffle Face Framing Hammer 21oz.,True,0,Brand New,1000,1200
"YIYITOOLS Dead Blow Hammer Set, 3 Piece/16oz1LB,27oz1.5LB,45oz3LB,Red and Black,",False,0,Brand New,2513,0
Milwaukee 19 Oz. Smooth Face Hickory Framing Hammer Metal Head Wood Handle,False,0,Brand New,1790,0
Oval Faced 16 oz. Durable Single Piece Steel Rip Claw Hammer w Side Nail Puller,False,0,Brand New,2786,0
New ListingVintage Williams Ball Peen Hammer HBP-7-0 Wooden Handle 4 ounces Jewler small ☆☆,False,,Pre-Owned,1800,1000
"Brass Punch Set, Hammer Bench Block Kit | Gunsmithing, Gun Repair Tools Kit",False,,Brand New,2590,0
"Vaughan USA! 16 oz fiberglass Curved Claw Hammer #S16-F new old stock, L-3879",True,,Brand New,2895,875
